old_name;new_name
Friedrichshagen;Friedrichshagen
Tegel;Tegel
Stolpe;Stolpe
Johannisthal;Johannisthal
Beelitzhof;Beelitzhof
Tiefwerder;Tiefwerder
Spandau;Spandau
Jungfernheide;Jungfernheide
Wuhlheide;Wuhlheide
Kladow;Andere
Staaken;Andere
Kaulsdorf;Andere
Hennigsdorf;Andere
Buch;Andere
Friedrichsfelde;Andere
Nauen;Andere
;Unbekannt
Ahrensfelde;Andere
KW Stahnsdorf;Andere
