ART_REG;ART_REG_SS;ART_REG_SAN;Aktion
-1;-1;0;Regenerierung
-1;0;0;Regenerierung
-1;-1;-1;Regenerierung
0;-1;-1;Regenerierung
-1;0;-1;Regenerierung
0;-1;0;Regenerierung
0;0;-1;Lining
0;0;0;Sonstige
