"value";"frequency";"percentage"
"Stahl";419;31.06
"Edelstahl";328;24.31
"Steinzeug";278;20.61
"Inliner";119;8.82
"PVC";109;8.08
"Kupfer";66;4.89
"Unbekannt";30;2.22
